chunk_strategy,question_type,question,top_k,temperature,retrieved_chunks,gpt_answer,evaluation_metric_F1,evaluation_metric_Recall@5
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.2,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...']","청킹 전략 S-A로 84개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.5,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...']","청킹 전략 S-A로 84개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.8,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...']","청킹 전략 S-A로 84개 청크 생성, 3개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.2,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...', '강인공지능과 약인공지능\n초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존 매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다. 그러...', '약인공지능\n 이 부분의 본문은 약한 인공지능입니다.\n약인공지능(weak AI)은 사진에서 물체를 찾거나 소리를 듣고 상황을 파악하는 것과 같이 기존에 인간은 쉽게 해결할 수 있으나...']","청킹 전략 S-A로 84개 청크 생성, 5개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.5,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...', '강인공지능과 약인공지능\n초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존 매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다. 그러...', '약인공지능\n 이 부분의 본문은 약한 인공지능입니다.\n약인공지능(weak AI)은 사진에서 물체를 찾거나 소리를 듣고 상황을 파악하는 것과 같이 기존에 인간은 쉽게 해결할 수 있으나...']","청킹 전략 S-A로 84개 청크 생성, 5개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,5,0.8,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...', '강인공지능과 약인공지능\n초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존 매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다. 그러...', '약인공지능\n 이 부분의 본문은 약한 인공지능입니다.\n약인공지능(weak AI)은 사진에서 물체를 찾거나 소리를 듣고 상황을 파악하는 것과 같이 기존에 인간은 쉽게 해결할 수 있으나...']","청킹 전략 S-A로 84개 청크 생성, 5개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,8,0.2,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...', '강인공지능과 약인공지능\n초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존 매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다. 그러...', '약인공지능\n 이 부분의 본문은 약한 인공지능입니다.\n약인공지능(weak AI)은 사진에서 물체를 찾거나 소리를 듣고 상황을 파악하는 것과 같이 기존에 인간은 쉽게 해결할 수 있으나...', '강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artificial general intelligence, AGI)은 인간처럼 실제로 사고하여 문제를 해결...', '강인공지능의 실현 가능성에 관한 논쟁\n존 설이나 휴버트 드라이퍼스와 같은 몇몇 철학자들은 몸이 아닌 기계에 인간의 지능이나 의식을 구현하는 작업의 실현 가능성에 대한 철학적 바탕을...', '다른 철학자들은 엇갈린 관점을 고수한다. 많은 사람들이 약한 인공지능 정도는 가능하다고 보지만, 또한 많은 사람들이 강한 인공지능을 지지하고 있는 것도 사실이다. 대니얼 C. 데넷...']","청킹 전략 S-A로 84개 청크 생성, 8개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,8,0.5,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...', '강인공지능과 약인공지능\n초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존 매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다. 그러...', '약인공지능\n 이 부분의 본문은 약한 인공지능입니다.\n약인공지능(weak AI)은 사진에서 물체를 찾거나 소리를 듣고 상황을 파악하는 것과 같이 기존에 인간은 쉽게 해결할 수 있으나...', '강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artificial general intelligence, AGI)은 인간처럼 실제로 사고하여 문제를 해결...', '강인공지능의 실현 가능성에 관한 논쟁\n존 설이나 휴버트 드라이퍼스와 같은 몇몇 철학자들은 몸이 아닌 기계에 인간의 지능이나 의식을 구현하는 작업의 실현 가능성에 대한 철학적 바탕을...', '다른 철학자들은 엇갈린 관점을 고수한다. 많은 사람들이 약한 인공지능 정도는 가능하다고 보지만, 또한 많은 사람들이 강한 인공지능을 지지하고 있는 것도 사실이다. 대니얼 C. 데넷...']","청킹 전략 S-A로 84개 청크 생성, 8개 관련 청크 검색됨",0.8,True
S-A,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,8,0.8,"['1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머스 회의에서 처음 AI라는 ...', '2. 딥러닝과 GPT의 부상\n2010년대에 들어 딥러닝 기술이 비약적으로 발전하면서 AI는 급속도로 성장했다. 특히 2018년 OpenAI에서 발표한 GPT(Generative P...', '인공지능(人工智能, 영어: artificial intelligence, AI)은 인간의 학습능력, 추론능력, 지각능력을 인공적으로 구현하려는 컴퓨터 과학의 세부분야 중 하나이다. ...', '강인공지능과 약인공지능\n초기 인공지능 연구에 대한 대표적인 정의는 다트머스 회의에서 존 매카시가 제안한 것으로 ""기계를 인간 행동의 지식에서와 같이 행동하게 만드는 것""이다. 그러...', '약인공지능\n 이 부분의 본문은 약한 인공지능입니다.\n약인공지능(weak AI)은 사진에서 물체를 찾거나 소리를 듣고 상황을 파악하는 것과 같이 기존에 인간은 쉽게 해결할 수 있으나...', '강인공지능 (AGI)\n강인공지능(strong AI) 또는 인공 일반 지능(artificial general intelligence, AGI)은 인간처럼 실제로 사고하여 문제를 해결...', '강인공지능의 실현 가능성에 관한 논쟁\n존 설이나 휴버트 드라이퍼스와 같은 몇몇 철학자들은 몸이 아닌 기계에 인간의 지능이나 의식을 구현하는 작업의 실현 가능성에 대한 철학적 바탕을...', '다른 철학자들은 엇갈린 관점을 고수한다. 많은 사람들이 약한 인공지능 정도는 가능하다고 보지만, 또한 많은 사람들이 강한 인공지능을 지지하고 있는 것도 사실이다. 대니얼 C. 데넷...']","청킹 전략 S-A로 84개 청크 생성, 8개 관련 청크 검색됨",0.8,True
S-B,fact,'인공지능'이라는 용어를 처음 만든 사람은 누구인가?,3,0.2,"['AI의 발전과 사회 변화\n\n1. 인공지능의 정의와 초기 역사\n인공지능(AI)은 인간의 학습, 추론, 문제 해결 능력을 컴퓨터가 모방할 수 있도록 설계된 기술이다. 1956년 다트머...', '한 알고리즘을 지향해야 한다. 장기적으로는 AI가 인간의 가치와 공존할 수 있는 방향으로 설계되어야 한다.\n\n인공지능(人工智能, 영어: artificial intelligence,...', ', 강한 인공지능)에 대한 고려를 하지 못한 것 같다. 인공지능의 또다른 정의는 인공적인 장치들이 가지는 지능이다. 거의 대부분 정의들이 인간처럼 사고하는 시스템, 인간처럼 행동하...']","청킹 전략 S-B로 58개 청크 생성, 3개 관련 청크 검색됨",0.8,True
