run_id,chunk,k,temp,recall@5,f1,latency_ms,cost_cents
5f311582,256,3,0.2,1.0,1.0,1091.98,0.0284
78c8865a,256,3,0.2,0.0,0.0,1051.79,0.0222
8d3cc3b1,256,3,0.2,1.0,1.0,824.26,0.0237
144b87bc,256,3,0.2,1.0,1.0,909.7,0.0191
89fbd736,256,3,0.2,0.6667,0.6667,1250.91,0.0314
76c45a2a,256,3,0.5,1.0,1.0,1101.83,0.0264
1bcd4225,256,3,0.5,0.0,0.0,1326.94,0.0226
3fb1526e,256,3,0.5,1.0,1.0,872.53,0.0237
10525181,256,3,0.5,1.0,1.0,1075.24,0.0195
8b527021,256,3,0.5,0.6667,0.6667,1290.69,0.0314
a2884090,256,3,0.8,1.0,1.0,1320.71,0.0285
e1f199b3,256,3,0.8,0.0,0.0,1093.87,0.0222
0ec09378,256,3,0.8,1.0,1.0,845.87,0.0237
4c5e4661,256,3,0.8,1.0,1.0,1540.04,0.0191
1aeaf865,256,3,0.8,0.6667,0.6667,1485.2,0.0309
2f423f18,256,5,0.2,1.0,1.0,892.71,0.0418
a1f5b542,256,5,0.2,0.2,0.2,868.17,0.0353
95ffc335,256,5,0.2,1.0,1.0,1231.53,0.0374
1711b52a,256,5,0.2,0.8,0.8,1086.76,0.035
306dc097,256,5,0.2,0.6,0.6,1066.56,0.0401
00a5a104,256,5,0.5,1.0,1.0,947.52,0.0418
8e753a64,256,5,0.5,0.2,0.2,1021.41,0.0353
fcac6ebe,256,5,0.5,1.0,1.0,1514.25,0.0378
17f93540,256,5,0.5,0.8,0.8,1149.06,0.0334
4ea38edf,256,5,0.5,0.6,0.6,1639.16,0.0415
95c69a40,256,5,0.8,1.0,1.0,1022.78,0.0418
ca52b42f,256,5,0.8,0.2,0.2,1024.27,0.0353
39b50911,256,5,0.8,1.0,1.0,1297.48,0.0374
9475bed9,256,5,0.8,0.8,0.8,1006.64,0.0346
0ce32784,256,5,0.8,0.6,0.6,1277.59,0.0427
17d531b4,256,8,0.2,1.0,1.0,841.06,0.0605
eac60572,256,8,0.2,0.2,0.2,1236.73,0.0545
0c085270,256,8,0.2,1.0,1.0,1361.78,0.0602
176d7685,256,8,0.2,0.8,0.8,1065.28,0.0469
f5cc1b2e,256,8,0.2,0.6,0.6,1332.77,0.0624
e6079ec1,256,8,0.5,1.0,1.0,1329.38,0.0605
86d444b2,256,8,0.5,0.2,0.2,1111.68,0.0545
97bc110a,256,8,0.5,1.0,1.0,1345.84,0.057
d474fe09,256,8,0.5,0.8,0.8,1022.5,0.0469
c673c96e,256,8,0.5,0.6,0.6,1742.8,0.063
1ff4d742,256,8,0.8,1.0,1.0,1739.64,0.0605
ac4ee7c7,256,8,0.8,0.2,0.2,1332.09,0.0549
b777bff5,256,8,0.8,1.0,1.0,1637.59,0.0608
a356d920,256,8,0.8,0.8,0.8,1060.9,0.0478
70506484,256,8,0.8,0.6,0.6,2649.21,0.0675
b6881b6d,512,3,0.2,1.0,1.0,1032.56,0.034
3a136be0,512,3,0.2,0.3333,0.3333,1698.46,0.0457
1b27d0b3,512,3,0.2,1.0,1.0,1125.57,0.0493
b35c5b0a,512,3,0.2,1.0,1.0,1675.32,0.0331
5e52a614,512,3,0.2,0.6667,0.6667,1398.53,0.0456
5001eb2f,512,3,0.5,1.0,1.0,1329.25,0.035
4082a399,512,3,0.5,0.3333,0.3333,1211.17,0.0464
07791852,512,3,0.5,1.0,1.0,1388.12,0.0481
924f0abf,512,3,0.5,1.0,1.0,984.62,0.0319
f99e87f3,512,3,0.5,0.6667,0.6667,1128.5,0.0466
3bbb2a38,512,3,0.8,1.0,1.0,1226.56,0.034
8bbff26b,512,3,0.8,0.3333,0.3333,1141.53,0.0421
d54b5047,512,3,0.8,1.0,1.0,1008.89,0.0469
2d99dd59,512,3,0.8,1.0,1.0,1330.09,0.0336
efed559f,512,3,0.8,0.6667,0.6667,1085.88,0.0405
03cdafc6,512,5,0.2,1.0,1.0,994.13,0.0567
fca89cb2,512,5,0.2,0.4,0.4,2327.54,0.0665
1883a379,512,5,0.2,1.0,1.0,1120.78,0.0696
0d730de3,512,5,0.2,0.8,0.8,1121.74,0.0572
e273db72,512,5,0.2,0.8,0.8,1231.71,0.0687
beb55218,512,5,0.5,1.0,1.0,1010.21,0.0567
36f4a63a,512,5,0.5,0.4,0.4,1222.53,0.0647
b54aee42,512,5,0.5,1.0,1.0,1147.68,0.0754
d25ab879,512,5,0.5,0.8,0.8,1146.7,0.0568
5e99032f,512,5,0.5,0.8,0.8,1003.09,0.0684
813624d7,512,5,0.8,1.0,1.0,1357.48,0.0567
d184f809,512,5,0.8,0.4,0.4,1610.12,0.0641
06f9330a,512,5,0.8,1.0,1.0,1110.94,0.0746
ffce92e3,512,5,0.8,0.8,0.8,1140.28,0.0572
e88a5ceb,512,5,0.8,0.8,0.8,3585.12,0.0711
806f7f3d,512,8,0.2,1.0,1.0,1053.37,0.0864
5c39c671,512,8,0.2,0.4,0.4,1963.86,0.1009
7c89bf76,512,8,0.2,1.0,1.0,1572.95,0.1137
ba673448,512,8,0.2,0.8,0.8,1142.21,0.1039
f2de58a6,512,8,0.2,0.8,0.8,1163.26,0.0942
2e893003,512,8,0.5,1.0,1.0,1272.05,0.0864
72eb01aa,512,8,0.5,0.4,0.4,1329.37,0.098
47f4a5bc,512,8,0.5,1.0,1.0,1687.57,0.1111
595d5af0,512,8,0.5,0.8,0.8,989.48,0.1041
58905513,512,8,0.5,0.8,0.8,1030.35,0.0896
01e8b512,512,8,0.8,1.0,1.0,1268.11,0.0864
62cb75c8,512,8,0.8,0.4,0.4,1391.85,0.0997
677f1f9c,512,8,0.8,1.0,1.0,1124.14,0.1135
f6caad7e,512,8,0.8,0.8,0.8,1383.77,0.1051
09a372e8,512,8,0.8,0.8,0.8,1527.97,0.097
